Sl. No,Polling Station No,Ananthalakshmi Party,OT Ganesan Lakshmi Dravida Kazhagam,EHT K. Kannan Katchi,UDANLIMAT ot( ISAKAVIS S. Karuppasamy Puratchi,EVITALSIGEL eb desu htob M. R. Kalyanasundari Kanagapriya Katchi,ees rof G. Samikkalai Kazagam,)c()(C ItraP yratnemailraP M.G.R. Nambbi Party Makkal Kazhagam,MORF dna P. Palanichamy,S. Mugunthan MNM,ISAKAVIS ) G. Jeevanantham,C. Ashokkumar,P. Anbalagan,R. Ganesan,N. Karthik,D. Kesavakumar,S. Thangaraj,M. Dharmalingam,S. Pandiarajan,N. Balakrishnan,G. Mayilvaganan,M. Marimuthu,E. Lakshmanan,M. Kumar Vinoth,T. Mary Joys,No.of,egaP No.of,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
182,133,220,0,239,4,1,0,43,37,0,0,2,0,0,3,0,1,2,1,3,0,0,0,0,5,0,0,561,0,3,564,0
183,134,305,2,201,0,3,2,109,9,0,0,7,1,0,0,0,2,3,0,1,5,0,0,0,66,1,1,718,0,8,726,0
184,135,170,0,107,1,2,0,62,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,36,0,1,388,0,3,391,0
185,136,307,3,151,1,1,3,88,12,0,0,19,1,0,0,0,1,3,3,2,7,0,2,1,76,1,0,682,0,9,691,0
186,137,165,0,261,3,0,0,54,64,0,0,5,0,0,2,1,2,0,1,0,1,0,0,0,2,0,0,561,0,3,564,0
187,138M,117,1,180,0,0,0,92,62,0,0,8,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,465,0,4,469,0
188,138A(W),121,2,235,0,1,0,43,36,0,0,3,0,0,1,0,1,2,2,0,0,0,0,0,1,1,0,449,0,5,454,0
189,139,163,1,285,3,0,0,112,69,0,0,5,1,0,0,1,1,2,3,2,0,2,1,1,1,0,0,653,0,3,656,0
190,140,217,0,237,0,1,0,98,65,0,0,11,0,1,0,0,2,1,1,3,0,0,0,0,16,0,1,654,0,4,658,0
191,141,209,0,233,1,1,1,76,16,0,0,17,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,560,0,4,564,0
192,142,143,1,176,1,1,0,56,18,0,0,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,407,0,1,408,0
193,143M,107,0,204,0,0,0,51,68,0,0,17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449,0,1,450,0
194,143A(W),95,0,286,2,1,1,28,45,0,0,14,0,0,2,0,0,2,2,2,0,1,1,0,1,0,0,483,0,3,486,0
195,144,99,0,87,0,1,1,42,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256,0,1,257,0
196,145M,197,1,130,1,2,0,93,18,0,0,11,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,457,0,7,464,0
197,145A(W),179,1,214,2,0,0,45,16,0,0,13,1,1,0,1,1,0,0,2,0,0,0,0,0,1,0,477,0,7,484,0
198,146M,139,1,148,0,0,0,0,74,37,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,3,417,0
199,146A(W),138,0,253,1,0,0,27,12,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,440,0,0,440,0
200,147,254,0,159,7,0,0,72,23,0,0,19,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,539,0,3,542,0
201,148,236,1,152,0,0,0,58,20,0,0,10,0,0,0,2,0,1,0,1,0,1,0,0,0,0,1,483,0,2,485,0
202,149,287,0,225,3,1,1,119,37,1,0,28,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,707,0,7,714,0
203,150,253,2,164,1,0,1,91,34,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,571,0,2,573,0
204,151,154,0,71,0,1,1,30,8,0,0,15,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,285,0,3,288,0
205,152,250,0,178,2,1,0,102,22,1,0,40,0,0,0,0,2,1,1,1,0,2,0,0,0,0,0,603,0,10,613,0
206,153,239,1,190,0,1,1,92,40,0,0,38,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,605,0,3,608,0
207,154M,183,2,127,0,0,1,59,15,0,0,23,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,414,0,7,421,0
208,154A(W),191,3,172,1,1,0,36,8,0,2,17,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,434,0,1,435,0
209,155,144,2,96,3,1,0,50,26,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,330,0,5,335,0
210,156M,177,0,123,0,0,1,57,16,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,392,0,4,396,0
211,156A(W),185,1,137,1,0,1,56,14,0,0,10,0,0,1,1,0,4,1,0,1,1,0,1,0,0,0,415,0,4,419,0
212,157M,148,0,101,3,0,0,64,27,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,3,358,0
213,157A(W),140,0,120,1,1,0,43,16,0,0,20,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,345,0,2,347,0
214,158M,150,1,109,0,0,0,98,19,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,4,403,0
215,158A(W),152,0,136,1,0,1,39,9,0,0,22,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,364,0,4,368,0
216,159M,167,0,129,0,0,0,76,31,0,0,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,424,0,1,425,0
217,159A(W),163,0,144,1,1,0,57,21,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,399,0,3,402,0
218,160,231,2,236,1,0,2,54,24,0,0,7,0,1,0,0,1,0,0,1,0,116,0,1,44,1,0,722,0,5,727,0
219,161,180,0,236,0,0,1,49,35,0,0,5,0,1,1,3,0,2,1,0,0,55,0,1,9,0,1,580,0,6,586,0
220,162M,180,1,103,0,0,2,36,5,0,0,4,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,341,0,2,343,0
221,162A(W),192,2,149,1,4,0,23,2,0,1,5,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,385,0,1,386,0
222,163,343,0,194,0,4,0,140,39,0,0,31,0,0,0,1,2,0,0,1,1,2,1,0,0,0,0,759,0,10,769,0
223,164,204,2,96,1,0,2,59,12,0,0,21,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,400,0,4,404,0
224,165M,132,0,141,0,0,1,48,29,0,0,14,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,371,0,6,377,0
225,165A(W),115,2,213,0,0,0,17,27,0,0,9,0,0,0,2,1,2,2,1,0,4,2,0,2,0,0,399,0,2,401,0
226,166,177,1,117,2,1,0,57,20,0,0,13,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,394,0,4,398,0
227,167,170,2,296,2,1,1,65,34,0,0,16,0,0,0,0,2,1,0,1,0,10,1,0,0,0,1,603,0,8,611,0
228,168,176,2,221,1,2,1,66,28,0,0,15,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,519,0,2,521,0
229,169M,195,0,119,0,0,0,66,19,0,1,15,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,418,0,3,421,0
230,169A(W),196,0,155,2,3,0,44,11,1,0,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,427,0,3,430,0
231,170M,190,0,88,4,1,0,55,25,0,0,15,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,381,0,7,388,0
232,170A(W),236,2,101,6,2,1,39,14,1,0,8,0,0,0,0,1,1,2,0,1,0,0,0,0,1,0,416,0,2,418,0
233,171,278,2,402,4,0,2,20,42,0,0,5,0,2,0,2,4,0,1,4,0,0,0,0,2,0,1,771,0,3,774,0
234,172M,139,0,177,0,0,0,65,54,0,0,11,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,449,0,3,452,0
235,172A(W),144,2,217,3,2,0,35,26,0,0,6,0,1,1,0,2,6,0,4,0,7,0,0,0,0,0,456,0,0,456,0
236,173,329,0,178,1,0,0,77,16,0,1,24,0,0,0,4,1,0,0,1,0,0,1,1,2,0,0,636,0,7,643,0
237,174,286,0,208,3,2,0,61,7,0,1,25,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,597,0,6,603,0
238,175,321,1,198,0,1,1,53,10,1,1,36,1,1,0,1,0,4,2,2,0,0,0,0,1,0,0,635,0,7,642,0
239,176,261,0,161,1,0,0,53,9,0,0,21,0,0,0,1,1,1,0,0,1,0,0,1,0,2,1,514,0,5,519,0
240,177,149,3,135,0,1,1,34,51,0,0,8,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,387,0,3,390,0
241,178,227,0,199,2,1,0,72,41,0,0,25,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,571,0,4,575,0
242,179,231,2,196,1,1,0,78,60,0,0,24,0,0,0,2,0,1,1,1,0,0,0,0,1,1,0,600,0,5,605,0
243,180,288,1,186,0,2,1,57,49,0,0,25,0,1,1,0,1,3,0,1,0,0,0,0,1,0,1,618,0,4,622,0
244,181,228,0,134,1,1,0,32,20,0,0,33,0,0,0,0,0,1,0,0,0,0,1,0,3,1,1,456,0,10,466,0
245,182M,219,0,67,2,0,0,47,40,0,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,398,0,4,402,0
246,182A(W),196,0,87,2,1,1,27,32,0,0,27,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,377,0,6,383,0
247,183,262,1,219,3,1,0,78,17,0,0,12,0,0,1,0,4,1,0,2,0,0,0,0,0,0,0,601,0,5,606,0
248,184,184,1,169,0,0,0,66,20,1,0,7,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,453,0,3,456,0
249,185,261,2,260,0,1,1,101,30,0,0,21,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,685,0,7,692,0
250,186,320,1,210,2,1,0,89,49,0,0,21,0,0,0,1,0,2,3,2,0,0,0,0,0,0,1,702,0,3,705,0
251,187,295,1,141,0,1,0,51,14,0,0,23,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,530,0,3,533,0
252,188,205,0,185,1,1,1,79,51,0,0,28,0,0,0,3,2,7,0,6,1,0,0,0,0,1,0,571,0,6,577,0
253,189M,122,0,153,0,0,0,53,98,0,1,15,0,0,0,0,0,1,0,1,0,0,0,1,4,2,0,451,0,5,456,0
254,189A(W),152,0,175,1,0,0,25,58,1,0,9,0,0,0,1,1,2,0,1,1,0,0,0,11,0,0,438,0,2,440,0
255,190,150,0,205,0,3,1,68,104,0,0,12,0,0,1,0,2,1,0,1,0,1,0,0,5,0,0,554,0,2,556,0
256,191M,219,1,133,0,0,0,46,8,1,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,7,457,0
257,191A(W),180,1,152,1,0,0,41,10,0,0,48,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,439,0,7,446,0
258,192,302,2,196,1,1,0,60,21,2,0,87,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,677,0,19,696,0
259,193M,224,0,115,0,0,1,65,10,0,1,44,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,462,0,4,466,0
260,193A(W),207,1,111,0,0,1,51,9,1,0,53,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,441,0,2,443,0
261,194,362,1,172,2,2,0,69,9,0,0,59,1,1,0,1,1,4,0,0,0,0,0,0,0,7,1,692,0,10,702,0
262,195,171,0,223,0,0,1,54,41,0,0,25,0,1,0,1,0,0,0,2,1,0,1,3,0,0,1,525,0,9,534,0
263,196,259,0,144,1,2,1,67,19,0,1,46,0,1,0,0,0,2,2,1,0,0,0,1,0,0,0,547,0,7,554,0
264,197,266,2,141,2,0,0,60,22,0,1,50,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,548,0,7,555,0
265,198M,210,1,81,2,0,0,59,5,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,392,0,3,395,0
266,198A(W),167,0,96,3,2,1,28,4,1,0,32,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,338,0,1,339,0
267,199,296,6,216,2,0,2,106,5,0,0,50,0,0,1,1,3,1,0,2,0,0,0,0,0,1,0,692,0,9,701,0
268,200,471,4,244,4,1,1,96,6,0,0,28,0,0,0,0,2,5,1,2,1,0,0,0,1,1,1,869,0,9,878,0
269,201,334,0,199,2,3,1,74,10,0,0,14,0,0,0,0,3,1,1,0,0,0,0,0,4,0,0,646,0,5,651,0
270,202,280,1,148,1,2,0,77,24,0,0,16,0,0,1,0,1,1,2,2,1,0,0,0,0,0,0,557,0,3,560,0
271,203M,182,1,107,1,1,0,47,35,0,1,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,391,0,7,398,0
272,203A(W),173,1,147,0,0,2,33,25,0,0,19,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,405,0,2,407,0
273,204,234,4,147,2,0,0,75,2,0,1,10,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,480,0,3,483,0
274,205,377,1,174,1,1,2,64,14,0,0,12,0,0,0,1,1,1,0,2,0,0,1,0,9,3,1,665,0,5,670,0
275,206,559,6,121,1,3,0,70,12,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,790,0,3,793,0
276,207,335,1,132,1,3,2,69,1,0,0,23,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,570,0,8,578,0
277,208,356,5,224,2,1,0,79,3,1,0,14,4,0,1,0,0,1,1,2,0,1,0,0,0,0,0,695,0,3,698,0
278,209,346,3,187,0,2,1,103,14,1,1,46,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,709,0,5,714,0
279,210,140,3,115,1,1,0,44,3,1,0,27,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,341,0,5,346,0
280,211,131,0,81,0,0,0,39,6,0,0,22,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,284,0,4,288,0
281,212,321,1,135,5,1,0,101,14,0,0,30,0,0,0,0,2,4,0,0,0,0,1,0,0,3,1,619,0,12,631,0
282,213M,184,0,95,0,1,0,32,139,0,0,19,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,473,0,2,475,0
283,213A(W),218,0,113,1,0,1,27,82,0,0,18,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,466,0,10,476,0
284,214,181,3,146,1,0,0,34,127,0,0,11,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,511,0,6,517,0
285,215,264,0,201,0,0,1,76,105,1,0,15,0,0,0,1,4,7,0,0,0,2,0,1,0,1,0,679,0,6,685,0
286,216M,208,1,75,1,0,0,57,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,4,370,0
287,216A(W),219,1,123,1,0,0,37,3,0,0,13,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,402,0,1,403,0
288,217,524,2,116,0,1,0,55,45,0,0,16,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,765,0,6,771,0
289,218,369,0,63,2,1,0,48,6,0,0,12,0,0,0,1,2,5,0,0,0,0,0,0,0,0,1,510,0,7,517,0
290,219,442,1,13,0,0,1,23,2,0,0,8,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,496,0,1,497,0
291,220M,392,1,19,0,0,0,42,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,4,468,0
292,220A(W),385,1,15,2,3,0,28,7,0,1,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,451,0,0,451,0
293,221M,232,1,124,1,0,0,71,44,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,6,506,0
294,221A(W),195,1,144,0,2,0,42,24,0,0,20,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,434,0,7,441,0
295,222,170,0,90,0,0,0,41,9,1,0,30,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,345,0,6,351,0
296,223,295,1,136,0,3,0,94,28,0,0,37,0,0,1,0,1,2,1,1,1,0,4,0,0,0,2,607,0,12,619,0
297,224,359,3,163,1,0,0,71,14,1,0,27,2,0,1,0,1,0,3,2,0,0,1,0,0,3,1,653,0,8,661,0
298,225,218,4,105,1,0,1,57,6,0,0,27,0,2,0,0,0,2,1,0,0,2,1,0,0,0,0,427,0,9,436,0
299,226,234,1,204,0,1,1,75,7,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,574,0,13,587,0
300,227M,208,2,100,2,0,0,59,2,0,0,35,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,411,0,6,417,0
301,227A(W),217,1,112,1,0,0,47,2,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,419,0,6,425,0
302,228M,201,0,146,0,0,0,72,10,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,466,0,5,471,0
303,228A(W),181,1,188,0,0,2,44,6,0,0,33,0,1,4,0,1,2,0,0,1,0,0,0,0,0,0,464,0,5,469,0
304,229,154,0,73,3,2,0,32,0,0,0,17,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,287,0,2,289,0
305,230,319,5,162,1,1,1,91,9,1,0,54,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,650,0,12,662,0
306,231M,242,1,113,0,0,1,63,10,0,0,23,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,456,0,11,467,0
307,231A(W),225,3,159,2,2,0,52,2,0,0,35,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,484,0,7,491,0
308,232M,277,1,119,1,0,1,91,7,0,0,29,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,533,0,8,541,0
309,232A(W),275,0,158,3,1,1,51,7,0,0,35,0,0,0,1,1,1,0,0,0,0,1,1,0,5,2,543,0,9,552,0
310,233M,216,1,112,0,0,1,65,5,0,0,28,0,0,0,0,1,0,1,1,0,0,0,1,1,13,0,446,0,4,450,0
311,233A(W),203,0,134,1,0,0,39,5,0,0,23,0,0,0,1,0,2,1,1,1,0,0,0,0,18,0,429,0,7,436,0
312,234M,264,0,112,0,1,0,74,12,0,1,31,0,0,0,0,0,1,0,0,0,1,0,0,0,20,0,517,0,8,525,0
313,234A(W),227,2,125,0,3,1,36,13,0,0,43,0,0,0,0,2,1,1,4,0,0,0,1,1,39,0,499,0,10,509,0
314,235,383,3,195,0,0,0,93,12,0,0,45,0,1,0,0,0,4,1,0,0,1,0,0,0,3,0,741,0,6,747,0
315,236,191,0,291,2,1,1,31,8,2,0,9,1,0,0,0,1,2,0,2,1,5,2,0,0,0,0,550,0,3,553,0
316,237,180,3,286,4,1,0,74,9,1,0,16,0,1,3,0,0,1,2,2,0,2,1,0,0,1,0,587,0,6,593,0
317,238,181,4,313,4,0,2,43,29,1,0,16,1,1,1,0,1,6,1,4,1,3,0,1,1,0,1,615,0,5,620,0
318,239,239,0,310,2,1,0,57,32,0,0,27,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,673,0,5,678,1
319,240,196,3,248,2,0,0,61,39,0,0,10,0,0,1,0,0,3,1,1,0,1,0,0,0,0,0,566,0,3,569,0
320,241,171,4,206,2,0,0,37,25,0,0,12,0,0,0,0,0,2,0,1,0,5,0,0,0,0,0,465,0,4,469,0
321,242M,123,0,87,0,0,0,88,25,0,0,13,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,340,0,13,353,0
322,242A(W),141,1,139,1,0,0,49,24,0,0,12,0,0,0,0,2,1,0,3,0,0,3,0,0,1,0,377,0,5,382,0
323,243,260,2,265,1,0,0,100,57,1,0,19,0,2,1,0,2,1,0,3,0,0,6,0,0,3,1,724,0,8,732,0
324,244,247,1,248,2,0,1,40,27,0,0,21,0,1,0,0,0,0,1,2,0,4,3,1,0,0,1,600,0,6,606,0
325,245,200,2,245,2,0,0,62,18,0,3,26,0,0,0,0,1,0,0,1,2,5,1,0,0,0,1,569,0,6,575,0
326,246,190,1,150,1,0,0,64,18,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,457,0,5,462,0
327,247,269,1,188,2,0,0,89,6,0,0,66,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,624,0,13,637,0
328,248M,142,0,97,1,1,0,65,18,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,347,0,2,349,0
329,248A(W),138,0,133,2,0,1,29,9,0,0,37,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,354,0,1,355,0
330,249,204,2,194,0,0,1,100,11,0,0,25,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,544,0,5,549,0
331,250,227,2,203,1,0,2,97,16,0,0,42,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,596,0,5,601,0
332,251M,120,1,126,0,0,1,67,15,0,0,19,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,353,0,6,359,0
333,251A(W),143,1,184,0,0,0,40,17,1,0,13,0,1,0,0,1,2,1,1,1,1,0,0,1,1,1,410,0,9,419,0
334,252,373,4,117,2,1,0,109,6,1,0,11,0,0,0,1,2,1,1,3,0,0,0,1,53,1,3,690,0,4,694,0
335,253M,214,1,116,3,0,0,85,11,0,0,7,0,0,0,0,1,1,0,2,1,2,1,0,0,0,0,445,0,2,447,0
336,253A(W),208,2,152,2,1,0,63,9,0,1,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,454,0,3,457,0
337,254M,176,0,105,1,1,0,71,14,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,384,0,2,386,0
338,254A(W),175,2,183,0,4,1,54,11,0,1,7,0,0,0,0,1,4,1,2,0,1,1,0,1,0,0,449,0,5,454,0
339,255M,196,0,136,3,0,0,80,9,1,0,24,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,455,0,4,459,0
340,255A(W),241,1,192,2,1,0,57,9,0,0,18,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,526,0,0,526,0
341,256M,229,0,134,1,0,0,69,5,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,29,0,0,475,0,2,477,0
342,256A(W),239,1,167,2,0,0,39,4,0,0,9,0,1,0,1,0,3,0,0,0,1,0,0,11,0,0,478,0,2,480,0
343,257M,187,1,123,1,0,0,51,12,0,0,10,0,0,0,0,0,0,0,0,1,3,1,0,12,0,0,402,0,9,411,0
344,257A(W),191,4,174,0,3,2,26,7,0,0,3,0,1,0,0,3,5,6,3,0,0,1,2,6,0,2,439,0,5,444,0
345,258,196,0,205,1,0,0,38,19,0,1,20,0,0,0,0,0,1,1,0,2,3,0,1,2,1,0,491,0,7,498,0
346,259,305,1,100,1,2,0,84,33,0,1,3,1,1,1,0,2,5,3,2,0,1,0,0,9,0,0,555,0,1,556,0
347,260,135,0,240,0,0,1,64,114,0,1,11,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,572,0,4,576,0
348,261M,137,0,107,0,0,1,59,33,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,351,0,5,356,0
349,261A(W),126,2,157,3,0,1,30,18,1,0,12,0,0,1,0,2,1,0,0,0,2,0,0,1,0,0,357,0,1,358,0
350,262,290,0,157,0,1,0,85,10,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,553,0,2,555,0
351,263,189,1,226,0,1,0,41,17,1,0,17,0,0,0,0,0,1,2,3,0,0,1,0,0,1,0,501,0,7,508,0
352,264,226,2,237,1,0,0,43,20,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,545,0,3,548,0
353,265,246,1,242,2,2,1,72,19,0,0,23,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,614,0,5,619,0
354,266,243,1,218,0,1,0,75,10,0,1,19,0,0,0,0,0,4,0,1,0,0,1,1,1,1,0,577,0,7,584,0
355,267,267,2,326,0,1,0,99,17,1,0,15,0,0,0,1,3,1,1,4,0,0,0,1,0,1,0,740,0,6,746,0
356,268,229,0,212,0,0,1,78,10,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,541,0,3,544,0
357,269,264,1,246,3,1,0,50,5,0,0,8,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,583,0,5,588,0
358,270M,180,0,146,0,0,0,48,15,0,0,17,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,410,0,6,416,0
359,270A(W),168,0,169,1,0,0,28,7,1,1,9,0,0,1,0,1,1,2,2,0,1,0,0,0,0,0,392,0,5,397,0
360,271,240,1,197,5,0,0,73,13,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,568,0,5,573,0
361,272,347,1,270,0,1,2,83,6,0,0,17,1,0,0,0,0,2,1,1,1,0,0,1,0,0,0,734,0,3,737,0
362,273,306,2,253,3,1,0,78,24,0,0,16,0,0,0,0,0,2,1,2,0,1,2,0,0,1,0,692,0,2,694,0
363,274M,155,0,147,1,0,0,57,18,0,0,19,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,401,0,4,405,0
364,274A(W),141,1,175,2,1,0,43,7,0,0,13,0,1,0,0,0,2,1,0,1,1,0,0,0,0,0,389,0,7,396,0
365,275M,160,0,123,1,0,0,61,14,1,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,381,0,7,388,0
366,275A(W),132,1,155,2,0,0,42,10,0,2,16,0,1,1,1,0,1,0,3,0,0,0,0,0,1,0,368,0,5,373,0
367,276M,171,0,146,0,0,0,76,20,0,1,10,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,428,0,5,433,0
368,276A(W),177,2,210,2,2,0,42,14,0,0,8,0,0,1,2,0,0,2,0,1,0,0,0,1,1,0,465,0,3,468,0
